RK,Player Name,Team,Pos,BYE,Trend,Points,YDS,YPC,Rush,REC,TD,YPR,Rec/Tar Game,QB Att/Game,QB YPC
56,Quinshon Judkins,CLE,RB,11,rising,217.1,1458,4.0,304,35,9,6.8,2.0/2.6,0.0,0.0
57,TreVeyon Henderson,NE,RB,11,down,192.2,1128,4.5,189,39,10,7.3,2.3/2.8,0.0,0.0
58,Bhayshul Tuten,JAX,RB,7,rising,201.9,1249,4.2,239,34,10,7.5,2.0/2.9,0.0,0.0
59,Bucky Irving,TB,RB,10,down,208.3,1358,4.1,259,37,9,8.1,2.2/2.7,0.0,0.0
60,Drake Maye,NE,QB,11,rising,333.5,4772,5.0,102,N/A,32,0.0,N/A,31.6,11.6
61,Jadarian Price,SEA,RB,11,no change,199.5,1185,4.2,225,30,11,8.0,1.8/2.4,0.0,0.0
62,Jordyn Tyson,NO,WR,8,no change,143.6,871,0.0,N/A,65,4,13.4,3.8/6.3,0.0,0.0
63,Tony Pollard,TEN,RB,9,down,182.9,1261,4.4,245,30,7,6.2,1.7/2.2,0.0,0.0
64,Joe Burrow,CIN,QB,6,rising,312.3,4466,3.6,45,N/A,36,0.0,N/A,35.1,10.6
65,Carnell Tate,TEN,WR,9,no change,145.5,849,0.0,N/A,61,5,13.9,3.6/6.0,0.0,0.0
66,Chuba Hubbard,CAR,RB,5,down,198.5,1270,4.1,228,47,8,7.2,2.8/3.6,0.0,0.0
67,Marvin Harrison Jr.,ARI,WR,14,down,162.2,932,0.0,N/A,66,6,14.1,3.9/7.2,0.0,0.0
68,Rhamondre Stevenson,NE,RB,11,rising,180.0,1079,4.4,181,36,9,7.8,2.1/2.6,0.0,0.0
69,Parker Washington,JAX,WR,7,rising,168.7,1032,5.6,10,71,5,13.7,4.2/6.8,0.0,0.0
70,Jalen Hurts,PHI,QB,10,rising,334.3,4133,4.1,111,N/A,35,0.0,N/A,29.2,11.3
71,Tyler Warren,IND,TE,13,rising,174.6,940,2.3,9,89,6,10.3,5.2/7.2,0.0,0.0
72,Rico Dowdle,PIT,RB,9,rising,180.6,1226,4.3,228,32,7,7.3,1.9/2.5,0.0,0.0
73,Rome Odunze,CHI,WR,10,down,181.8,1063,0.0,N/A,67,7,15.9,3.9/7.7,0.0,0.0
74,Caleb Williams,CHI,QB,10,rising,315.4,4584,5.5,74,N/A,30,0.0,N/A,33.8,12.0
75,Brian Thomas Jr.,JAX,WR,7,down,147.6,886,6.3,3,58,5,14.9,3.4/5.9,0.0,0.0
76,DK Metcalf,PIT,WR,9,down,152.6,861,0.0,N/A,61,6,14.1,3.6/6.2,0.0,0.0
77,Tucker Kraft,GB,TE,11,rising,166.2,882,0.0,N/A,72,7,12.3,4.2/5.9,0.0,0.0
78,Jaylen Warren,PIT,RB,9,down,171.3,1143,4.4,189,42,6,7.7,2.5/3.1,0.0,0.0
79,Justin Herbert,LAC,QB,7,rising,321.1,4502,4.8,80,N/A,33,0.0,N/A,32.8,11.2
80,Jordan Addison,MIN,WR,6,no change,159.9,910,6.2,2,66,6,13.7,3.9/6.4,0.0,0.0
81,Courtland Sutton,DEN,WR,10,down,169.1,926,0.0,N/A,69,7,13.4,4.1/7.1,0.0,0.0
82,Trevor Lawrence,JAX,QB,7,rising,325.4,4555,4.5,78,N/A,33,0.0,N/A,34.4,11.7
83,J.K. Dobbins,DEN,RB,10,down,186.8,1157,4.6,223,22,10,6.0,1.3/1.7,0.0,0.0
84,Jakobi Meyers,JAX,WR,7,down,149.8,838,5.7,5,72,5,11.2,4.2/6.5,0.0,0.0
85,Dak Prescott,DAL,QB,14,rising,319.0,4673,3.9,52,N/A,34,0.0,N/A,34.9,11.3
86,Blake Corum,LAR,RB,11,rising,158.3,935,4.6,171,22,9,7.0,1.3/1.7,0.0,0.0
87,Brock Purdy,SF,QB,8,no change,325.8,4662,4.4,66,N/A,35,0.0,N/A,32.5,11.8
88,Alec Pierce,IND,WR,13,rising,175.2,1059,0.0,N/A,67,6,15.9,3.9/6.8,0.0,0.0
89,Jaxson Dart,NYG,QB,8,no change,315.5,4361,5.6,105,N/A,29,0.0,N/A,30.4,11.3
90,RJ Harvey,DEN,RB,10,down,162.5,867,4.1,132,44,9,7.4,2.6/3.3,0.0,0.0
91,Michael Wilson,ARI,WR,14,rising,149.1,846,0.0,N/A,69,5,12.3,4.1/6.8,0.0,0.0
92,Patrick Mahomes II,N/A,QB,N/A,no change,287.0,4283,5.1,51,N/A,29,0.0,N/A,32.6,11.1
93,Kyle Pitts Sr.,ATL,TE,11,no change,151.2,857,0.0,N/A,83,4,10.3,4.9/6.9,0.0,0.0
94,Harold Fannin Jr.,CLE,TE,11,rising,160.9,873,2.8,7,87,5,9.8,5.1/7.5,0.0,0.0
95,Sam Laporta,DET,TE,6,down,151.1,831,0.0,N/A,76,5,10.9,4.5/5.9,0.0,0.0
96,Michael Pittman Jr.,PIT,WR,9,down,131.4,684,0.0,N/A,66,5,10.4,3.9/6.1,0.0,0.0
97,Josh Downs,IND,WR,13,rising,141.4,754,6.0,2,72,5,10.3,4.2/6.2,0.0,0.0
98,Xavier Worthy,KC,WR,5,no change,166.1,984,6.8,17,63,6,13.7,3.7/6.1,0.0,0.0
99,Matthew Stafford,LAR,QB,11,rising,306.5,4461,1.3,28,N/A,36,0.0,N/A,33.5,12.0
100,Jayden Reed,GB,WR,11,down,155.2,902,7.6,10,70,5,11.8,4.1/5.8,0.0,0.0
101,Kyle Monangai,CHI,RB,10,rising,160.5,1048,4.4,188,27,7,8.4,1.6/2.3,0.0,0.0
102,Bo Nix,DEN,QB,10,rising,306.7,4287,4.4,81,N/A,32,0.0,N/A,33.9,10.6
103,Mark Andrews,BAL,TE,13,down,170.7,762,3.4,9,69,10,10.6,4.1/5.9,0.0,0.0
104,Makai Lemon,PHI,WR,10,no change,124.7,697,4.2,5,50,5,13.5,2.9/5.0,0.0,0.0
105,Chris Godwin Jr.,TB,WR,10,no change,139.6,723,0.0,N/A,63,6,11.5,3.7/5.6,0.0,0.0
106,Kenneth Gainwell,TB,RB,10,down,159.9,904,4.5,116,55,7,6.9,3.2/4.1,0.0,0.0
107,Jordan Love,GB,QB,11,rising,289.7,4494,4.1,49,N/A,29,0.0,N/A,33.1,11.8
108,George Kittle,SF,TE,8,no change,109.8,593,0.0,N/A,53,4,11.2,4.8/6.1,0.0,0.0
